Module,GO term,GO process,FDR
blue,GO:0005575,cellular_component,6.238688785720234e-39
blue,GO:0110165,cellular anatomical entity,2.15263816083028e-38
blue,GO:0003674,molecular_function,5.042917161216781e-34
blue,GO:0008150,biological_process,2.0004452456781684e-33
blue,GO:0009987,cellular process,7.2493801744933e-33
blue,GO:0005622,intracellular,2.9754870435568608e-31
blue,GO:0043226,organelle,1.5766214483335666e-29
blue,GO:0005488,binding,2.3331367475278198e-29
blue,GO:0043229,intracellular organelle,1.6417676167674663e-25
blue,GO:0005515,protein binding,2.615931726152301e-25
blue,GO:0043227,membrane-bounded organelle,1.0756029892501507e-24
blue,GO:0005737,cytoplasm,9.924503166874873e-22
blue,GO:0050794,regulation of cellular process,4.429803306128332e-21
blue,GO:0043231,intracellular membrane-bounded organelle,5.595091157968948e-21
blue,GO:0065007,biological regulation,1.0633125082057189e-19
blue,GO:0008152,metabolic process,2.625972305952791e-19
blue,GO:0050789,regulation of biological process,2.7710337788411576e-19
blue,GO:0044237,cellular metabolic process,3.3243983979748284e-19
blue,GO:0071840,cellular component organization or biogenesis,7.687063057360721e-18
blue,GO:0071704,organic substance metabolic process,8.45841897584414e-18
blue,GO:0016043,cellular component organization,1.8145215956251536e-17
blue,GO:0044238,primary metabolic process,3.4340208506549e-17
blue,GO:0005634,nucleus,2.995360353694444e-16
blue,GO:0044260,cellular macromolecule metabolic process,3.386787577741412e-16
blue,GO:0048518,positive regulation of biological process,2.3554517396489152e-15
blue,GO:0006996,organelle organization,3.0792833899449154e-15
blue,GO:0005829,cytosol,4.755279096752617e-15
blue,GO:0043170,macromolecule metabolic process,3.0712756820805656e-14
blue,GO:0051716,cellular response to stimulus,8.696130556236947e-14
blue,GO:0048523,negative regulation of cellular process,9.32083231860397e-14
blue,GO:0048522,positive regulation of cellular process,1.3344971666446555e-13
blue,GO:0006807,nitrogen compound metabolic process,1.6495088678986267e-13
blue,GO:0007154,cell communication,1.7629762389426135e-13
blue,GO:0050896,response to stimulus,1.8654007034532938e-13
blue,GO:0031974,membrane-enclosed lumen,2.2169759661736485e-13
blue,GO:0043233,organelle lumen,2.2169759661736485e-13
blue,GO:0070013,intracellular organelle lumen,2.2169759661736485e-13
blue,GO:0048519,negative regulation of biological process,4.591461199101735e-13
blue,GO:0035556,intracellular signal transduction,1.3742400688987045e-12
blue,GO:0016020,membrane,1.886974331099911e-12
blue,GO:0007165,signal transduction,2.0411771124525017e-12
blue,GO:0031981,nuclear lumen,2.49960650069582e-12
blue,GO:0023052,signaling,4.6996186368604744e-12
blue,GO:0010646,regulation of cell communication,5.840817636996338e-11
blue,GO:0023051,regulation of signaling,7.658306397806475e-11
blue,GO:0051171,regulation of nitrogen compound metabolic process,8.33387434297396e-11
blue,GO:0031323,regulation of cellular metabolic process,9.22744848346456e-11
blue,GO:0051179,localization,1.7107071513070355e-10
blue,GO:0080090,regulation of primary metabolic process,1.9036809171199843e-10
blue,GO:0060255,regulation of macromolecule metabolic process,2.6663922776852086e-10
blue,GO:0033554,cellular response to stress,3.042834201030924e-10
blue,GO:0043167,ion binding,3.965394509921985e-10
blue,GO:0019222,regulation of metabolic process,4.5022935815123933e-10
blue,GO:0009893,positive regulation of metabolic process,8.958659749431146e-10
blue,GO:0005654,nucleoplasm,9.57752855503179e-10
blue,GO:0010604,positive regulation of macromolecule metabolic process,1.0289784433644355e-9
blue,GO:0043232,intracellular non-membrane-bounded organelle,1.2938069312002218e-9
blue,GO:0043228,non-membrane-bounded organelle,1.3534408140775708e-9
blue,GO:0031325,positive regulation of cellular metabolic process,1.7281144293294994e-9
blue,GO:0097159,organic cyclic compound binding,2.202796617432721e-9
blue,GO:0044085,cellular component biogenesis,2.202796617432721e-9
blue,GO:0006810,transport,2.2404227191706056e-9
blue,GO:0032991,protein-containing complex,2.3649670823323774e-9
blue,GO:0022607,cellular component assembly,2.8879404939946584e-9
blue,GO:0051234,establishment of localization,4.0162785750906525e-9
blue,GO:0051173,positive regulation of nitrogen compound metabolic process,4.0162785750906525e-9
blue,GO:1901363,heterocyclic compound binding,6.991253142867049e-9
blue,GO:0034641,cellular nitrogen compound metabolic process,7.589300840869516e-9
blue,GO:0032501,multicellular organismal process,9.59957656948025e-9
blue,GO:0044267,cellular protein metabolic process,1.358403794649751e-8
blue,GO:0048583,regulation of response to stimulus,1.6444267678997258e-8
blue,GO:0065008,regulation of biological quality,2.0754312586138506e-8
blue,GO:0043412,macromolecule modification,2.1116707387353126e-8
blue,GO:0009966,regulation of signal transduction,2.2073718731641946e-8
blue,GO:0010647,positive regulation of cell communication,3.125954692776748e-8
blue,GO:0023056,positive regulation of signaling,3.295700119446454e-8
blue,GO:1901360,organic cyclic compound metabolic process,3.7974384408338725e-8
blue,GO:0019899,enzyme binding,4.7330816949560664e-8
blue,GO:0046483,heterocycle metabolic process,5.450275860875053e-8
blue,GO:0090304,nucleic acid metabolic process,6.018788792584184e-8
blue,GO:0097659,nucleic acid-templated transcription,6.133723084404359e-8
blue,GO:0032774,RNA biosynthetic process,6.585832980255643e-8
blue,GO:0010467,gene expression,7.033839401176008e-8
blue,GO:1901362,organic cyclic compound biosynthetic process,8.942962047148806e-8
blue,GO:0010556,regulation of macromolecule biosynthetic process,1.0550389610692807e-7
blue,GO:0032502,developmental process,1.0550389610692807e-7
blue,GO:0006139,nucleobase-containing compound metabolic process,1.159257018925632e-7
blue,GO:0120025,plasma membrane bounded cell projection,1.264291880206993e-7
blue,GO:1903506,regulation of nucleic acid-templated transcription,1.340938144045235e-7
blue,GO:2001141,regulation of RNA biosynthetic process,1.3731637831033657e-7
blue,GO:0034654,nucleobase-containing compound biosynthetic process,1.3956132360089356e-7
blue,GO:0019538,protein metabolic process,1.3956132360089356e-7
blue,GO:0016070,RNA metabolic process,1.3956132360089356e-7
blue,GO:0042221,response to chemical,1.6434101964631308e-7
blue,GO:0018130,heterocycle biosynthetic process,1.8412519897490498e-7
blue,GO:0019438,aromatic compound biosynthetic process,1.9317703093364872e-7
blue,GO:0031326,regulation of cellular biosynthetic process,1.9919505382169587e-7
blue,GO:0044271,cellular nitrogen compound biosynthetic process,2.0593744139645963e-7
blue,GO:0042995,cell projection,2.0693991374122022e-7
