"","geneIDs","moduleColor"
"1","ABCB1","greenyellow"
"2","ABCB4","greenyellow"
"5","ACO2","greenyellow"
"6","ACP2","greenyellow"
"7","ACTR1A","greenyellow"
"8","ACTR5","greenyellow"
"10","ADAMTSL4","greenyellow"
"11","AIG1","greenyellow"
"12","AKAP6","greenyellow"
"15","ALDOA","greenyellow"
"16","ALMS1","greenyellow"
"17","ALPK3","greenyellow"
"18","AMBRA1","greenyellow"
"19","ANAPC7","greenyellow"
"20","ANKRD13A","greenyellow"
"22","ANKRD45","greenyellow"
"23","ANKRD63","greenyellow"
"24","ANP32E","greenyellow"
"25","ANXA9","greenyellow"
"26","AP3B2","greenyellow"
"27","APH1A","greenyellow"
"28","APOPT1","greenyellow"
"30","ARHGAP1","greenyellow"
"31","ARHGAP40","greenyellow"
"32","ARL3","greenyellow"
"33","ARL5B","greenyellow"
"35","ARNT","greenyellow"
"36","ARPC3","greenyellow"
"37","ARTN","greenyellow"
"38","AS3MT","greenyellow"
"39","ATF4","greenyellow"
"40","ATG13","greenyellow"
"41","ATP13A1","greenyellow"
"42","ATP2A2","greenyellow"
"43","ATP6V0B","greenyellow"
"45","ATXN7","greenyellow"
"46","B4GALT2","greenyellow"
"48","BAG4","greenyellow"
"49","BAG5","greenyellow"
"50","BANK1","greenyellow"
"52","BCL11B","greenyellow"
"53","BCL2L12","greenyellow"
"54","BNIP3L","greenyellow"
"55","BNIPL","greenyellow"
"56","BOLL","greenyellow"
"57","BRD8","greenyellow"
"58","BTBD18","greenyellow"
"59","C10orf32","greenyellow"
"60","C11orf31","greenyellow"
"61","C11orf49","greenyellow"
"62","C12orf65","greenyellow"
"63","C12orf76","greenyellow"
"64","C14orf2","greenyellow"
"65","C16orf92","greenyellow"
"66","C1orf54","greenyellow"
"67","C1orf56","greenyellow"
"69","C2orf47","greenyellow"
"70","C2orf78","greenyellow"
"71","C2orf82","greenyellow"
"72","C3orf49","greenyellow"
"73","CA14","greenyellow"
"74","CA8","greenyellow"
"75","CACNA1C","greenyellow"
"76","CACNA1D","greenyellow"
"77","CACNA1I","greenyellow"
"78","CACNB2","greenyellow"
"79","CACYBP","greenyellow"
"80","CALB2","greenyellow"
"81","CALHM2","greenyellow"
"82","CALHM3","greenyellow"
"83","CCDC134","greenyellow"
"84","CCDC24","greenyellow"
"85","CCDC62","greenyellow"
"86","CDC20","greenyellow"
"87","CDC23","greenyellow"
"88","CDC25C","greenyellow"
"89","CDC42SE1","greenyellow"
"90","CDK2AP1","greenyellow"
"91","CENPL","greenyellow"
"92","CENPM","greenyellow"
"93","CENPT","greenyellow"
"94","CEP170","greenyellow"
"95","CERS2","greenyellow"
"96","CHRNA2","greenyellow"
"97","CHRNA3","greenyellow"
"98","CHRNA5","greenyellow"
"100","CHST4","greenyellow"
"101","CKAP5","greenyellow"
"102","CKB","greenyellow"
"103","CLCN3","greenyellow"
"104","CLDN23","greenyellow"
"105","CLP1","greenyellow"
"106","CLU","greenyellow"
"107","CNNM2","greenyellow"
"108","CNOT1","greenyellow"
"109","CNTN4","greenyellow"
"110","COQ10B","greenyellow"
"111","CPEB1","greenyellow"
"112","CREB3L1","greenyellow"
"114","CSDC2","greenyellow"
"116","CTNND1","greenyellow"
"117","CTRL","greenyellow"
"118","CTSK","greenyellow"
"119","CTSS","greenyellow"
"120","CUL3","greenyellow"
"121","CYP17A1","greenyellow"
"124","DDB2","greenyellow"
"125","DDHD2","greenyellow"
"126","DDX28","greenyellow"
"127","DEPDC1B","greenyellow"
"128","DFNA5","greenyellow"
"130","DGKZ","greenyellow"
"131","DMTF1","greenyellow"
"132","DNAH1","greenyellow"
"133","DNAJB7","greenyellow"
"134","DNAJC19","greenyellow"
"135","DOC2A","greenyellow"
"136","DOPEY1","greenyellow"
"137","DPEP2","greenyellow"
"138","DPEP3","greenyellow"
"139","DPYD","greenyellow"
"140","DRD2","greenyellow"
"141","DRG2","greenyellow"
"142","DUSP11","greenyellow"
"143","ECM1","greenyellow"
"144","EDC4","greenyellow"
"145","EFTUD1","greenyellow"
"146","EGR4","greenyellow"
"147","EIF5","greenyellow"
"148","ELOVL1","greenyellow"
"149","ELOVL7","greenyellow"
"150","EMB","greenyellow"
"151","EMX1","greenyellow"
"152","ENSA","greenyellow"
"153","EP300","greenyellow"
"154","EPHX2","greenyellow"
"155","EPN2","greenyellow"
"156","ERCC8","greenyellow"
"157","ERI1","greenyellow"
"158","ESAM","greenyellow"
"159","ESRP2","greenyellow"
"160","ETF1","greenyellow"
"161","F2","greenyellow"
"162","FAM109B","greenyellow"
"163","FAM154B","greenyellow"
"164","FAM53C","greenyellow"
"165","FAM57B","greenyellow"
"166","FAM63A","greenyellow"
"167","FANCL","greenyellow"
"168","FGFR1","greenyellow"
"169","FHIT","greenyellow"
"170","FOXP1","greenyellow"
"171","FSD2","greenyellow"
"172","FSHB","greenyellow"
"173","FTSJ2","greenyellow"
"174","FXR1","greenyellow"
"175","GABBR2","greenyellow"
"176","GABPB2","greenyellow"
"177","GATAD2A","greenyellow"
"178","GDPD3","greenyellow"
"179","GFRA3","greenyellow"
"180","GIGYF2","greenyellow"
"181","GIT2","greenyellow"
"182","GLT8D1","greenyellow"
"184","GMIP","greenyellow"
"185","GNL3","greenyellow"
"186","GOLPH3L","greenyellow"
"188","GPN3","greenyellow"
"189","GPR135","greenyellow"
"190","GPR52","greenyellow"
"191","GRAP","greenyellow"
"192","GRIA1","greenyellow"
"193","GRIN2A","greenyellow"
"194","GRM3","greenyellow"
"195","HAPLN4","greenyellow"
"196","HARBI1","greenyellow"
"197","HCN1","greenyellow"
"199","HIRIP3","greenyellow"
"200","HOMER2","greenyellow"
"201","HORMAD1","greenyellow"
"202","HSPA9","greenyellow"
"203","HSPD1","greenyellow"
"205","HVCN1","greenyellow"
"206","HYDIN","greenyellow"
"207","HYI","greenyellow"
"208","IFT81","greenyellow"
"209","IGSF9B","greenyellow"
"210","IL20RB","greenyellow"
"211","IMMP2L","greenyellow"
"212","INA","greenyellow"
"213","INHBC","greenyellow"
"214","INO80E","greenyellow"
"215","INPP4B","greenyellow"
"217","IREB2","greenyellow"
"218","ITIH1","greenyellow"
"219","ITIH3","greenyellow"
"220","ITIH4","greenyellow"
"221","JKAMP","greenyellow"
"222","KAT5","greenyellow"
"223","KCNJ13","greenyellow"
"224","KCTD13","greenyellow"
"225","KDM3B","greenyellow"
"226","KDM4A","greenyellow"
"227","KIAA1324L","greenyellow"
"228","KIF20A","greenyellow"
"229","KIF21A","greenyellow"
"230","KLC1","greenyellow"
"231","KLHL20","greenyellow"
"232","L3MBTL2","greenyellow"
"233","LCAT","greenyellow"
"235","LHFPL3","greenyellow"
"236","LPAR2","greenyellow"
"237","LRP1","greenyellow"
"238","LRP4","greenyellow"
"239","LRRC48","greenyellow"
"240","LRRN3","greenyellow"
"242","MAD1L1","greenyellow"
"245","MAPK3","greenyellow"
"246","MAPK7","greenyellow"
"247","MARK3","greenyellow"
"248","MARS2","greenyellow"
"249","MAU2","greenyellow"
"250","MCHR1","greenyellow"
"251","MCL1","greenyellow"
"252","ME1","greenyellow"
"253","MED19","greenyellow"
"254","MED8","greenyellow"
"256","MEI1","greenyellow"
"257","MFAP4","greenyellow"
"259","MGAT3","greenyellow"
"260","MKL1","greenyellow"
"261","MLLT11","greenyellow"
"262","MMP16","greenyellow"
"263","MOB4","greenyellow"
"264","MPHOSPH9","greenyellow"
"265","MPL","greenyellow"
"266","MPP6","greenyellow"
"267","MPPED2","greenyellow"
"268","MRPS14","greenyellow"
"269","MRPS30","greenyellow"
"270","MSL2","greenyellow"
"271","MSRA","greenyellow"
"272","MUSTN1","greenyellow"
"274","MYO1A","greenyellow"
"275","NAB2","greenyellow"
"276","NAGA","greenyellow"
"277","NCAN","greenyellow"
"280","NDRG4","greenyellow"
"281","NDUFA4L2","greenyellow"
"282","NDUFA6","greenyellow"
"283","NDUFAF2","greenyellow"
"284","NEK1","greenyellow"
"285","NEK4","greenyellow"
"286","NFATC3","greenyellow"
"287","NGEF","greenyellow"
"288","NHP2L1","greenyellow"
"289","NISCH","greenyellow"
"290","NLGN4X","greenyellow"
"291","NMB","greenyellow"
"292","NME5","greenyellow"
"294","NOSIP","greenyellow"
"295","NR1H3","greenyellow"
"296","NRGN","greenyellow"
"297","NRN1L","greenyellow"
"298","NSUN6","greenyellow"
"299","NT5C2","greenyellow"
"300","NT5DC2","greenyellow"
"301","NUDT1","greenyellow"
"302","NUTF2","greenyellow"
